CustID,FirstPolYear,BirthYear,EducDeg,MonthSal,GeoLivArea,Children,CustMonVal,ClaimsRate,PremMotor,PremHousehold,PremHealth,PremLife,PremWork
1.0,1985.0,1982.0,b'2 - High School',2177.0,1.0,1.0,380.97,0.39,375.85,79.45,146.36,47.01,16.89
2.0,1981.0,1995.0,b'2 - High School',677.0,4.0,1.0,-131.13,1.12,77.46,416.2,116.69,194.48,106.13
3.0,1991.0,1970.0,b'1 - Basic',2277.0,3.0,0.0,504.67,0.28,206.15,224.5,124.58,86.35,99.02
4.0,1990.0,1981.0,b'3 - BSc/MSc',1099.0,4.0,1.0,-16.99,0.99,182.48,43.35,311.17,35.34,28.34
5.0,1986.0,1973.0,b'3 - BSc/MSc',1763.0,4.0,1.0,35.23,0.9,338.62,47.8,182.59,18.78,41.45
6.0,1986.0,1956.0,b'2 - High School',2566.0,4.0,1.0,-24.33,1.0,440.75,18.9,114.8,7.0,7.67
7.0,1979.0,1943.0,b'2 - High School',4103.0,4.0,0.0,-66.01,1.05,156.92,295.6,317.95,14.67,26.34
8.0,1988.0,1974.0,b'2 - High School',1743.0,4.0,1.0,-144.91,1.13,248.27,397.3,144.36,66.68,53.23
9.0,1981.0,1978.0,b'3 - BSc/MSc',1862.0,1.0,1.0,356.53,0.36,344.51,18.35,210.04,8.78,9.89
10.0,1976.0,1948.0,b'3 - BSc/MSc',3842.0,1.0,0.0,-119.35,1.12,209.26,182.25,271.94,39.23,55.12
11.0,1990.0,1945.0,b'3 - BSc/MSc',3995.0,4.0,0.0,290.17,0.53,296.5,116.7,227.71,18.67,10.89
12.0,1985.0,1958.0,b'3 - BSc/MSc',2834.0,3.0,1.0,405.74,0.46,249.49,216.7,252.38,36.34,35.45
13.0,1981.0,1949.0,b'3 - BSc/MSc',3757.0,1.0,0.0,2.34,0.97,206.04,340.05,257.05,43.12,15.78
14.0,1983.0,2000.0,b'1 - Basic',1043.0,3.0,1.0,-75.12,1.06,44.34,342.85,127.69,267.94,94.46
15.0,1983.0,1975.0,b'2 - High School',1981.0,1.0,1.0,-89.0,1.12,504.43,-70.0,72.79,10.89,16.89
16.0,1988.0,1979.0,b'3 - BSc/MSc',974.0,4.0,1.0,290.06,0.53,318.06,93.9,247.49,-3.0,19.67
17.0,1991.0,1989.0,b'2 - High School',2437.0,1.0,1.0,100.58,0.89,119.8,647.35,168.92,125.58,37.23
18.0,1981.0,1970.0,b'3 - BSc/MSc',2728.0,4.0,1.0,78.91,0.85,446.64,107.8,86.35,3.89,27.56
19.0,1981.0,1982.0,b'1 - Basic',1414.0,3.0,1.0,230.38,0.71,313.17,373.4,121.8,14.78,72.57
20.0,1988.0,1962.0,b'4 - PhD',2751.0,1.0,1.0,352.96,0.36,402.41,9.45,125.69,24.45,30.56
21.0,1986.0,1986.0,b'4 - PhD',1704.0,4.0,1.0,373.73,0.39,329.84,65.0,221.93,3.89,33.34
22.0,1977.0,1958.0,b'2 - High School',,3.0,1.0,111.37,0.8,407.52,111.7,100.13,24.67,30.34
23.0,1976.0,1986.0,b'2 - High School',1495.0,1.0,1.0,-89.79,1.08,209.04,308.95,192.48,64.79,54.9
24.0,1998.0,1961.0,b'2 - High School',2870.0,4.0,1.0,290.05,0.64,222.04,329.5,248.38,48.01,33.56
25.0,1988.0,1952.0,b'3 - BSc/MSc',3201.0,4.0,0.0,108.13,0.81,420.3,128.35,135.58,15.67,4.78
26.0,1974.0,1944.0,b'4 - PhD',3776.0,2.0,0.0,376.3,0.41,383.74,103.9,154.14,17.56,15.78
27.0,1978.0,1937.0,b'4 - PhD',4281.0,3.0,0.0,430.86,0.38,330.84,162.8,228.82,-5.0,22.78
28.0,1979.0,1942.0,b'4 - PhD',3619.0,1.0,0.0,-7.22,0.97,449.75,58.9,112.91,17.78,9.78
29.0,1995.0,1952.0,b'3 - BSc/MSc',3639.0,4.0,0.0,264.17,0.5,301.28,18.9,258.05,-4.0,-0.11
30.0,1980.0,1972.0,b'3 - BSc/MSc',2660.0,3.0,0.0,2.0,0.96,524.21,25.0,54.9,7.0,-5.0
31.0,1988.0,1975.0,b'2 - High School',2148.0,4.0,1.0,427.76,0.19,483.09,-15.0,92.24,3.89,-5.11
32.0,1984.0,1953.0,b'2 - High School',3490.0,4.0,0.0,240.16,0.69,320.95,335.05,146.25,46.12,9.67
33.0,1989.0,1970.0,b'3 - BSc/MSc',2126.0,4.0,1.0,-2.44,0.96,473.09,19.45,89.24,4.78,7.89
34.0,1987.0,1979.0,b'2 - High School',1601.0,1.0,1.0,-5.55,0.97,373.96,19.45,179.7,22.56,10.89
35.0,1979.0,1945.0,b'3 - BSc/MSc',3662.0,3.0,0.0,336.07,0.48,320.84,123.35,131.58,40.23,72.68
36.0,1990.0,1966.0,b'2 - High School',2420.0,3.0,0.0,53.8,0.89,241.49,190.6,125.8,111.8,65.79
37.0,1982.0,1972.0,b'2 - High School',2401.0,4.0,1.0,7.24,0.94,320.95,-25.55,145.25,26.56,84.35
38.0,1976.0,1955.0,b'2 - High School',3343.0,1.0,0.0,-31.78,1.01,495.87,68.9,68.57,3.0,9.78
39.0,1985.0,1941.0,b'2 - High School',3985.0,3.0,0.0,-14.22,0.98,104.02,142.8,357.18,53.01,40.23
40.0,1980.0,1938.0,b'3 - BSc/MSc',3858.0,1.0,0.0,-1.55,0.96,334.84,63.35,207.04,17.67,5.78
41.0,1994.0,1995.0,b'2 - High School',1177.0,4.0,1.0,121.36,0.84,52.01,455.65,135.47,146.36,148.03
42.0,1988.0,1955.0,b'3 - BSc/MSc',3256.0,1.0,1.0,402.63,0.47,265.05,270.6,130.47,108.02,25.34
43.0,1994.0,1968.0,b'2 - High School',2116.0,4.0,1.0,710.8,0.19,323.84,383.4,168.92,3.0,25.56
44.0,1994.0,1982.0,b'2 - High School',1353.0,2.0,1.0,-77.01,1.07,159.14,249.5,284.61,52.01,23.34
45.0,1985.0,1990.0,b'3 - BSc/MSc',1065.0,1.0,1.0,-128.68,1.19,111.8,-35.0,208.26,224.71,44.23
46.0,1991.0,1984.0,b'3 - BSc/MSc',1937.0,3.0,1.0,624.34,0.38,139.58,540.1,180.59,106.13,75.79
47.0,1976.0,1986.0,b'3 - BSc/MSc',1219.0,4.0,1.0,-94.9,1.08,269.94,300.6,143.25,59.79,69.9
48.0,1977.0,1938.0,b'2 - High School',4233.0,3.0,0.0,279.28,0.63,254.38,265.6,209.04,72.68,22.78
49.0,1985.0,1974.0,b'3 - BSc/MSc',2381.0,3.0,1.0,-132.88,1.2,468.09,-45.55,92.24,1.89,14.89
50.0,1986.0,1978.0,b'2 - High School',2660.0,1.0,1.0,-21.11,0.99,396.74,18.9,166.92,16.78,3.89
51.0,1983.0,1979.0,b'3 - BSc/MSc',1569.0,4.0,1.0,420.64,0.32,435.75,102.25,105.02,4.78,9.89
52.0,1982.0,1966.0,b'3 - BSc/MSc',3234.0,4.0,1.0,-14714.08,25.36,557.44,20.0,29.56,5.0,-9.0
53.0,1986.0,1984.0,b'3 - BSc/MSc',1960.0,3.0,1.0,-104.21,1.14,360.4,-40.55,212.04,12.78,10.89
54.0,1983.0,1980.0,b'2 - High School',1148.0,1.0,1.0,-11.33,0.98,177.59,236.7,295.61,44.12,30.45
55.0,1993.0,1946.0,b'3 - BSc/MSc',3441.0,3.0,0.0,264.5,0.59,305.17,157.25,227.6,12.89,2.78
56.0,1995.0,1966.0,b'3 - BSc/MSc',2885.0,2.0,1.0,-15.22,0.98,559.66,44.45,17.56,-1.11,10.89
57.0,1995.0,1965.0,b'3 - BSc/MSc',2234.0,4.0,1.0,540.55,0.13,569.55,30.0,36.45,6.0,10.0
58.0,1992.0,1949.0,b'2 - High School',3538.0,4.0,0.0,294.94,0.66,207.93,452.3,155.25,69.68,62.68
59.0,1978.0,1956.0,b'2 - High School',2920.0,2.0,1.0,448.98,0.41,286.61,260.05,168.92,72.68,16.78
60.0,1997.0,1984.0,b'2 - High School',2195.0,3.0,1.0,120.48,0.81,341.73,249.5,84.35,52.9,51.12
61.0,1983.0,1943.0,b'3 - BSc/MSc',4109.0,4.0,1.0,226.93,0.68,278.83,246.15,217.82,30.34,5.78
62.0,1993.0,1978.0,b'2 - High School',1823.0,1.0,1.0,224.5,0.68,304.17,249.5,165.81,36.34,15.78
63.0,1981.0,1957.0,b'3 - BSc/MSc',3762.0,3.0,1.0,-67.32,1.08,464.2,-25.55,89.24,3.89,8.78
64.0,1987.0,1967.0,b'2 - High School',3259.0,4.0,1.0,314.51,0.61,364.18,343.95,86.46,23.45,48.12
65.0,1982.0,1973.0,b'3 - BSc/MSc',2294.0,3.0,0.0,-124.32,1.19,452.53,-45.55,104.91,17.78,-4.11
66.0,1998.0,1941.0,b'3 - BSc/MSc',3760.0,1.0,0.0,132.27,0.78,276.83,175.6,261.27,6.89,-6.11
67.0,1984.0,1968.0,b'3 - BSc/MSc',2544.0,3.0,1.0,-25.0,1.0,366.07,78.35,165.81,16.56,7.89
68.0,1989.0,1984.0,b'2 - High School',1866.0,1.0,1.0,-90.01,1.06,152.03,530.65,202.26,32.34,97.35
69.0,1983.0,1977.0,b'2 - High School',1399.0,4.0,1.0,476.65,0.33,330.73,186.7,211.15,,15.78
